,attributes,price,status,adress,lat,lon
38, 135 m² construidos | 3 recs. ,"1,149,873",Casa en venta , Oriente 872829 - Mártires De Río Blanco - Gustavo A. Madero - Distrito Federal ,19.4616775,-99.1125412
39, 220 m² construidos | 4 recs. ,"861,792",Casa en venta , Talara189 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,19.4876223,-99.1199993
40, 80 m² construidos | 2 recs. ,"932,766",Casa en venta , Alfonso Echanoves9 - Atzacoalco CTM - Gustavo A. Madero - Distrito Federal ,19.5108215,-99.1021983
41, 138 m² construidos | 3 recs. ,"731,489",Casa en venta , Guayaquil39 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4943829,-99.1354761
42, 300 m² construidos | 4 recs. ,"1,334,566",Casa en venta , LIMA 905 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.49523,-99.1249622
43, 90 m² construidos | 3 recs. ,"1,230,931",Casa en venta , Nte 725637 - Bondojito - Gustavo A. Madero - Distrito Federal ,19.5178527,-99.1419179
44, 90 m² construidos | 2 recs. ,"1,740,800",Casa en venta , CALLE 302 00 - El Coyol - Gustavo A. Madero - Distrito Federal ,19.4902782,-99.0903219
45, 180 m² construidos | 3 recs. ,"1,831,466",Casa en venta , Calle 307924 A - Nueva Atzacoalco - Gustavo A. Madero - Distrito Federal ,19.4991516,-99.0861392
46, 600 m² construidos | 5 recs. ,"789,245",Casa en venta , Caruso 2792 - Vallejo - Gustavo A. Madero - Distrito Federal ,19.4657951,-99.130719
47, 160 m² construidos | 3 recs. ,"863,248",Casa en venta , Calle 28 A14 - San José De La Escalera - Gustavo A. Madero - Distrito Federal ,19.5239938,-99.1632291
48, 200 m² construidos | 4 recs. ,"996,742",Casa en venta , FUNDADORA MONTERREY 00 - Industrial - Gustavo A. Madero - Distrito Federal ,19.4734094,-99.1288723
49, 320 m² construidos | 4 recs. ,"974,049",Casa en venta , garrido278 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,19.484018,-99.1219017
50, 128 m² construidos | 3 recs. ,"654,823",Casa en venta , Presetas53 - Héroes De Cerro Prieto - Gustavo A. Madero - Distrito Federal ,19.4525866,-99.0987496
51, 542 m² construidos | 4 recs. ,"1,924,000",Casa en venta , Arroyo de Ticoman53 - Residencial La Escalera - Gustavo A. Madero - Distrito Federal ,19.5107091,-99.1382602
