id,Price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
00500010525014,35384.61538461538,2010.0,159.0,3.0,26.0,1.9,13.45,12.81,74.0,32.0,99.0,45.0,,,,,3.9,38.0,39.0,37.0,33.0,1.8867924528301887,16.352201257861633,43.24324324324325,,,,,86.66666666666669,82.2222222222222,73.33333333333333
00500010525014,35384.61538461538,2020.0,151.0,0.0,38.0,1.9,13.34,12.48,71.0,29.0,132.0,46.0,40.0,46.0,40.0,0.0,3.78,35.0,39.0,37.0,39.0,0.0,25.16556291390729,40.84507042253522,86.95652173913044,100.0,86.95652173913044,0.0,84.78260869565217,80.43478260869566,84.78260869565217
00500010582001,17718.521196782065,2010.0,128.0,3.0,28.0,2.17,13.27,12.79,55.0,25.0,84.0,35.0,,,,,3.79,27.0,27.0,20.0,19.0,2.34375,21.875,45.45454545454545,,,,,77.14285714285717,57.14285714285714,54.28571428571429
00500010582001,17718.521196782065,2020.0,216.0,,48.0,1.23,13.92,13.49,107.0,48.0,186.0,74.0,67.0,66.0,59.0,4.0,3.22,44.0,45.0,50.0,59.0,,22.222222222222218,44.85981308411215,90.54054054054052,89.18918918918921,79.72972972972974,5.405405405405406,60.81081081081082,67.56756756756756,79.72972972972974
00500010597003,13486.486486486487,2010.0,106.0,,3.0,1.32,10.44,10.21,51.0,24.0,86.0,29.0,,,,,3.66,25.0,25.0,19.0,12.0,,2.8301886792452837,47.058823529411754,,,,,86.20689655172413,65.51724137931035,41.379310344827594
00500010597003,13486.486486486487,2020.0,176.0,8.0,21.0,1.68,11.12,10.89,82.0,33.0,136.0,46.0,44.0,46.0,44.0,,4.0,30.0,20.0,20.0,31.0,4.545454545454546,11.931818181818182,40.2439024390244,95.65217391304348,100.0,95.65217391304348,,43.47826086956522,43.47826086956522,67.3913043478261
00500010597019,17475.0,2010.0,676.0,30.0,83.0,2.07,10.29,9.9,264.0,102.0,542.0,207.0,,,,,3.56,112.0,82.0,95.0,68.0,4.437869822485207,12.278106508875739,38.63636363636363,,,,,39.613526570048315,45.893719806763286,32.850241545893724
00500010597019,17475.0,2020.0,685.0,17.0,119.0,1.72,11.28,11.04,331.0,140.0,536.0,234.0,208.0,234.0,208.0,6.0,3.29,129.0,90.0,119.0,165.0,2.4817518248175183,17.372262773722632,42.296072507552864,88.8888888888889,100.0,88.8888888888889,2.564102564102564,38.46153846153847,50.85470085470085,70.51282051282051
0050001060A018,20029.67359050445,2010.0,125.0,,15.0,1.23,14.41,14.05,51.0,21.0,93.0,41.0,,,,,3.13,30.0,30.0,36.0,30.0,,12.0,41.17647058823529,,,,,73.17073170731706,87.8048780487805,73.17073170731706
0050001060A018,20029.67359050445,2020.0,118.0,,25.0,1.37,14.82,14.58,57.0,29.0,81.0,46.0,39.0,46.0,39.0,,3.03,34.0,26.0,30.0,37.0,,21.1864406779661,50.877192982456144,84.78260869565217,100.0,84.78260869565217,,56.52173913043478,65.21739130434783,80.43478260869566
00500010633006,32083.333333333332,2010.0,102.0,,20.0,1.67,13.82,13.59,38.0,21.0,66.0,25.0,,,,,4.08,23.0,17.0,18.0,16.0,,19.607843137254907,55.26315789473685,,,,,68.0,72.0,64.0
