id,price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
01400010098013,28949.27536231884,2010.0,323.0,8.0,35.0,1.3,13.25,12.56,173.0,76.0,247.0,123.0,,,,,2.86,96.0,80.0,85.0,84.0,2.476780185758514,10.835913312693501,43.930635838150295,,,,,65.04065040650406,69.10569105691057,68.29268292682927
01400010098013,28949.27536231884,2020.0,358.0,9.0,51.0,0.92,15.51,15.43,254.0,143.0,293.0,179.0,158.0,166.0,145.0,7.0,2.27,137.0,108.0,138.0,147.0,2.5139664804469275,14.24581005586592,56.29921259842521,88.26815642458101,92.73743016759776,81.00558659217876,3.910614525139665,60.33519553072626,77.09497206703911,82.12290502793294
01400010098015,37500.0,2010.0,103.0,5.0,7.0,1.51,12.48,11.57,56.0,25.0,71.0,40.0,,,,,2.7,26.0,18.0,25.0,22.0,4.854368932038835,6.7961165048543695,44.64285714285715,,,,,45.0,62.5,55.00000000000001
01400010098015,37500.0,2020.0,87.0,,13.0,1.24,13.92,13.56,62.0,34.0,61.0,37.0,35.0,35.0,33.0,,2.49,25.0,17.0,30.0,32.0,,14.942528735632186,54.838709677419345,94.5945945945946,94.5945945945946,89.18918918918921,,45.94594594594595,81.08108108108108,86.4864864864865
01400010100003,37061.3305247786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01400010115002,50000.0,2010.0,488.0,21.0,66.0,1.25,12.47,11.93,246.0,116.0,303.0,192.0,,,,,2.88,113.0,96.0,103.0,89.0,4.30327868852459,13.524590163934429,47.15447154471545,,,,,50.0,53.64583333333334,46.35416666666667
01400010115002,50000.0,2020.0,536.0,11.0,82.0,1.08,13.83,13.23,303.0,143.0,390.0,208.0,199.0,188.0,179.0,0.0,2.69,155.0,108.0,162.0,181.0,2.0522388059701493,15.298507462686567,47.1947194719472,95.67307692307692,90.3846153846154,86.05769230769229,0.0,51.92307692307693,77.88461538461539,87.01923076923076
01400010115007,35268.22021158929,2010.0,572.0,26.0,59.0,1.18,14.55,14.04,334.0,157.0,475.0,283.0,,,,,2.37,185.0,180.0,187.0,164.0,4.545454545454546,10.314685314685317,47.00598802395209,,,,,63.60424028268551,66.07773851590106,57.95053003533568
01400010115007,35268.22021158929,2020.0,645.0,12.0,74.0,1.04,14.3,13.99,434.0,214.0,529.0,304.0,271.0,290.0,257.0,,2.38,158.0,170.0,232.0,252.0,1.8604651162790695,11.472868217054264,49.308755760368655,89.14473684210527,95.39473684210527,84.53947368421053,,55.92105263157895,76.31578947368422,82.89473684210526
0140001012A012,21774.1935483871,2010.0,234.0,6.0,44.0,1.56,12.58,12.05,103.0,54.0,156.0,90.0,,,,,2.79,40.0,31.0,45.0,38.0,2.564102564102564,18.803418803418804,52.42718446601942,,,,,34.44444444444444,50.0,42.22222222222222
