,tiempo,nom_ent,mun,loc,ageb,mza,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
240,2010,Distrito Federal,5,1,0135,26,193,10.0,21.0,1.97,9.59,9.46,68.0,21.0,141.0,53,,,,,3.88,32.0,21.0,20.0,14.0,5.181347150259067,10.880829015544041,30.88235294117647,,,,,,,
241,2010,Distrito Federal,5,1,0135,27,99,3.0,13.0,1.75,11.04,11.36,37.0,17.0,78.0,30,,,,,3.41,19.0,15.0,18.0,7.0,3.0303030303030303,13.131313131313133,45.94594594594595,,,,,,,
242,2010,Distrito Federal,5,1,0135,28,166,8.0,15.0,2.59,7.14,7.14,51.0,14.0,109.0,41,,,,,4.37,17.0,12.0,9.0,4.0,4.819277108433735,9.036144578313253,27.450980392156865,,,,,,,
243,2010,Distrito Federal,5,1,014A,0,4730,231.0,410.0,2.3,8.77,8.66,1813.0,593.0,3213.0,1241,1198.0,1234.0,1191.0,6.0,3.95,647.0,395.0,325.0,191.0,4.883720930232558,8.668076109936575,32.70821842250414,96.53505237711522,99.43593875906527,99.41569282136895,0.4834810636583401,32.97161936560935,27.128547579298832,15.943238731218697
244,2010,Distrito Federal,5,1,014A,1,95,3.0,9.0,2.38,8.0,7.91,38.0,12.0,75.0,21,,,,,4.52,14.0,7.0,4.0,,3.1578947368421053,9.473684210526317,31.57894736842105,,,,,,,
245,2010,Distrito Federal,5,1,014A,2,167,13.0,11.0,2.73,8.59,8.02,63.0,22.0,121.0,50,,,,,3.55,19.0,14.0,12.0,5.0,7.784431137724551,6.58682634730539,34.92063492063492,,,,,,,
246,2010,Distrito Federal,5,1,014A,3,312,14.0,27.0,2.23,8.72,8.89,125.0,40.0,191.0,73,,,,,4.27,44.0,16.0,20.0,10.0,4.487179487179487,8.653846153846153,32.0,,,,,,,
247,2010,Distrito Federal,5,1,014A,4,188,4.0,23.0,2.71,8.1,7.86,69.0,23.0,126.0,50,,,,,3.81,29.0,10.0,6.0,5.0,2.127659574468085,12.23404255319149,33.33333333333333,,,,,,,
248,2010,Distrito Federal,5,1,014A,5,102,4.0,9.0,2.23,8.0,7.9,36.0,9.0,65.0,23,,,,,4.43,13.0,4.0,7.0,4.0,3.9215686274509802,8.823529411764707,25.0,,,,,,,
249,2010,Distrito Federal,5,1,014A,6,146,3.0,16.0,2.13,9.26,9.24,51.0,18.0,112.0,39,,,,,3.76,21.0,11.0,14.0,10.0,2.054794520547945,10.95890410958904,35.294117647058826,,,,,,,
250,2010,Distrito Federal,5,1,014A,7,213,12.0,22.0,2.38,8.55,7.96,77.0,28.0,154.0,68,,,,,3.87,30.0,17.0,16.0,11.0,5.633802816901409,10.328638497652582,36.36363636363637,,,,,,,
251,2010,Distrito Federal,5,1,014A,8,164,10.0,21.0,2.44,9.51,9.3,64.0,28.0,123.0,45,,,,,3.81,28.0,16.0,16.0,10.0,6.097560975609756,12.804878048780488,43.75,,,,,,,
