,m2,state,rooms,price,status,adress
50,362,construidos , 3 recs. ,"10,470,000",Casa en venta ," Nicolas SAN Juan , Narvarte , Benito Juárez , Distrito Federal "
51,158,construidos , 3 recs. ,"7,400,000",Casa en venta ," Luz Saviñón , Del Valle Norte , Benito Juárez , Distrito Federal "
52,440,construidos ,,"11,500,000",Casa en venta ," Av. Dos , San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
53,237,construidos , 4 recs. ,"9,798,000",Casa en venta ," Yacatas , Narvarte , Benito Juárez , Distrito Federal "
54,325,construidos , 3 recs. ,"14,850,000",Casa en venta ," Aniceto Ortega , Benito Juárez , Distrito Federal "
55,158,construidos , 3 recs. ,"7,400,000",Casa en venta ," Luz Saviñón , Del Valle Centro , Benito Juárez , Distrito Federal "
56,235,construidos , 3 recs. ,"14,268,042",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
57,249,construidos , 3 recs. ,"15,219,666",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
58,244,construidos , 2 recs. ,"8,400,000",Casa en venta ," Patricio Sanz , Benito Juárez , Distrito Federal "
59,280,construidos , 3 recs. ,"830,500",Casa en venta ," Callejón de la santísima 12 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
60,600,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 , Nápoles , Benito Juárez , Distrito Federal "
61,315,construidos , 3 recs. ,"11,995,100",Casa en venta ," SAN LORENZO , Del Valle Sur , Benito Juárez , Distrito Federal "
62,346,construidos , 4 recs. ,"16,000,000",Casa en venta ," Pitagoras , Narvarte Poniente , Benito Juárez , Distrito Federal "
63,164,construidos , 3 recs. ,"1,220,000",Casa en venta ," Tiburcio Sánchez de la Barquera 110 , Merced Gómez , Benito Juárez , Distrito Federal "
64,266,construidos , 3 recs. ,"7,900,000",Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal "
65,318,construidos , 3 recs. ,"13,209,000",Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal "
66,400,construidos , 5 recs. ,"17,800,000",Casa en venta ," Patricio Sanz , Benito Juárez , Distrito Federal "
67,326,de terreno ,,"15,500,000",Casa en venta ," Napoles , Nápoles , Benito Juárez , Distrito Federal "
68,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 13 , Nápoles , Benito Juárez , Distrito Federal "
69,370,construidos , 4 recs. ,"1,220,000",Casa en venta ," SAN FRANCISCO 323 , Del Valle Centro , Benito Juárez , Distrito Federal "
70,293,construidos , 3 recs. ,"11,000,000",Casa en venta ," SALOME PIÑA 00 , San José Insurgentes , Benito Juárez , Distrito Federal "
71,224,construidos , 4 recs. ,"1,180,000",Casa en venta ," JUAREZ 141 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
72,260,construidos , 4 recs. ,"1,200,000",Casa en venta ," PASADENA 21 , Del Valle Centro , Benito Juárez , Distrito Federal "
73,164,construidos , 3 recs. ,"1,220,000",Casa en venta ," Tiburcio Sanchez de la Barquera 10 , Merced Gómez , Benito Juárez , Distrito Federal "
74,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 15 , Nápoles , Benito Juárez , Distrito Federal "
75,200,construidos , 3 recs. ,"4,536,000",Casa en venta ," AVENIDA JUAREZ 141 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
