,Status,m2,State,Rooms,Price,Adress,lon,lat
33,Casa en venta ,343,construidos , 11 recs. ,"5,750,000"," Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1220962,19.4855507
34,Casa en venta ,120,construidos , 3 recs. ,"559,000"," ANDADOR 689 , C.T.M. Aragón , Gustavo A. Madero , Distrito Federal ",-99.0547616,19.4533047
35,Casa en venta ,240,construidos , 4 recs. ,"2,610,000"," Solola 566 , Valle Del Tepeyac , Gustavo A. Madero , Distrito Federal ",-99.1417021,19.4882662
36,Casa en venta ,219,construidos , 3 recs. ,"874,129"," Felix Romero62 , Constitución De La República , Gustavo A. Madero , Distrito Federal ",-99.1008963,19.4831295
37,Casa en venta ,135,construidos , 3 recs. ,"1,621,193"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
38,Casa en venta ,135,construidos , 3 recs. ,"1,149,873"," Oriente 872829 , Mártires De Río Blanco , Gustavo A. Madero , Distrito Federal ",-99.1125412,19.4616775
39,Casa en venta ,220,construidos , 4 recs. ,"861,792"," Talara189 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1199993,19.4876223
40,Casa en venta ,80,construidos , 2 recs. ,"932,766"," Alfonso Echanoves9 , Atzacoalco CTM , Gustavo A. Madero , Distrito Federal ",-99.1021983,19.5108215
41,Casa en venta ,138,construidos , 3 recs. ,"731,489"," Guayaquil39 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1354761,19.4943829
42,Casa en venta ,300,construidos , 4 recs. ,"1,334,566"," LIMA 905 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1249622,19.49523
43,Casa en venta ,90,construidos , 3 recs. ,"1,230,931"," Nte 725637 , Bondojito , Gustavo A. Madero , Distrito Federal ",-99.1419179,19.5178527
44,Casa en venta ,90,construidos , 2 recs. ,"1,740,800"," CALLE 302 00 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0903219,19.4902782
45,Casa en venta ,180,construidos , 3 recs. ,"1,831,466"," Calle 307924 A , Nueva Atzacoalco , Gustavo A. Madero , Distrito Federal ",-99.0861392,19.4991516
46,Casa en venta ,600,construidos , 5 recs. ,"789,245"," Caruso 2792 , Vallejo , Gustavo A. Madero , Distrito Federal ",-99.130719,19.4657951
47,Casa en venta ,160,construidos , 3 recs. ,"863,248"," Calle 28 A14 , San José De La Escalera , Gustavo A. Madero , Distrito Federal ",-99.1632291,19.5239938
48,Casa en venta ,200,construidos , 4 recs. ,"996,742"," FUNDADORA MONTERREY 00 , Industrial , Gustavo A. Madero , Distrito Federal ",-99.1288723,19.4734094
49,Casa en venta ,320,construidos , 4 recs. ,"974,049"," garrido278 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1219017,19.484018
50,Casa en venta ,128,construidos , 3 recs. ,"654,823"," Presetas53 , Héroes De Cerro Prieto , Gustavo A. Madero , Distrito Federal ",-99.0987496,19.4525866
51,Casa en venta ,542,construidos , 4 recs. ,"1,924,000"," Arroyo de Ticoman53 , Residencial La Escalera , Gustavo A. Madero , Distrito Federal ",-99.1382602,19.5107091
52,Casa en venta ,140,construidos , 3 recs. ,"6,188,463"," Norte 86 A4730 , Nueva Tenochtitlan , Gustavo A. Madero , Distrito Federal ",-99.1025371,19.458507
53,Casa en venta ,250,construidos , 3 recs. ,"596,000"," CALLE 313 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0900856,19.4881312
54,Casa en venta ,150,construidos , 3 recs. ,"2,688,334"," Norte 19 A5327 , Nueva Vallejo , Gustavo A. Madero , Distrito Federal ",-99.1479993,19.4841219
55,Casa en venta ,145,construidos , 4 recs. ,"1,775,395"," 2 DA CERRADA697 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0543234,19.4549778
56,Casa en venta ,216,construidos , 6 recs. ,"2,660,000"," Calle 63131 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0907521,19.4686137
57,Casa en venta ,200,construidos , 3 recs. ,"1,350,000"," BONAO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1298228,19.5011203
58,Casa en venta ,220,construidos , 4 recs. ,"2,830,000"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
59,Casa en venta ,110,construidos , 2 recs. ,"849,400"," Andador 68967 , C.T.M. Aragón , Gustavo A. Madero , Distrito Federal ",-99.0522209,19.4912946
60,Casa en venta ,90,construidos , 3 recs. ,"866,067"," SALAMINA 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1270283,19.4994383
61,Casa en venta ,150,construidos , 3 recs. ,"1,338,846"," Av. Fernando Amilpa105 , C.T.M. Atzacoalco , Gustavo A. Madero , Distrito Federal ",-99.0992958,19.5085203
62,Casa en venta ,240,construidos , 4 recs. ,"1,437,956"," Acueducto de guadalupe49 , Santa Isabel Tola , Gustavo A. Madero , Distrito Federal ",-99.1131703,19.4959244
63,Casa en venta ,360,construidos , 4 recs. ,"2,590,000"," Av. 50820 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0923614,19.4686303
64,Casa en venta ,250,construidos , 4 recs. ,"998,748"," AtlacomulcoMz 20 Lt 34 , San Felipe De Jesús , Gustavo A. Madero , Distrito Federal ",-99.0788113,19.4996572
65,Casa en venta ,130,construidos , 3 recs. ,"1,072,000"," Calle 31329 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0909786,19.487856
66,Casa en venta ,120,construidos , 3 recs. ,"595,000"," NORTE 3 A 0 , Defensores De La República , Gustavo A. Madero , Distrito Federal ",-99.1420087,19.4794298
67,Casa en venta ,210,construidos , 3 recs. ,"685,000"," Cairo 303 , Fernando Casas Alemán , Gustavo A. Madero , Distrito Federal ",-99.0969096,19.4520358
68,Casa en venta ,120,construidos , 3 recs. ,"1,453,026"," Norte 763427 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0909786,19.487856
69,Casa en venta ,104,construidos , 3 recs. ,"1,630,000"," Andador 66563 , Ampliación San Juan de Aragón , Gustavo A. Madero , Distrito Federal ",-99.0522209,19.4912946
70,Casa en venta ,250,construidos , 3 recs. ,"685,000"," CAIRO 0 , Fernando Casas Alemán , Gustavo A. Madero , Distrito Federal ",-99.0969458,19.4525696
71,Casa en venta ,252,construidos , 4 recs. ,"1,058,000"," BONAO 0 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1331631,19.4908853
72,Casa en venta ,180,construidos , 4 recs. ,"1,055,603"," VOLCAN JORULLO 0 , La Pradera , Gustavo A. Madero , Distrito Federal ",-99.0667845,19.476546
73,Casa en venta ,100,construidos , 2 recs. ,"1,299,897"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
74,Casa en venta ,85,construidos , 2 recs. ,"310,775"," Gaviotas 21 , Granjas Modernas , Gustavo A. Madero , Distrito Federal ",-99.1059233,19.4788821
75,Casa en venta ,220,construidos , 4 recs. ,"1,370,020"," CHICLAYO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1310756,19.4896721
76,Casa en venta ,200,construidos , 2 recs. ,"2,150,000"," AVENIDA 603 00 , San Juan de Aragón III Sección , Gustavo A. Madero , Distrito Federal ",-99.0702693,19.4520587
77,Casa en venta ,75,construidos , 3 recs. ,"554,000"," ANDADOR 689 00 , C.T.M. Aragón , Gustavo A. Madero , Distrito Federal ",-99.0547616,19.4533047
78,Casa en venta ,120,construidos , 3 recs. ,"1,750,000"," JUAN BOSCO 00 , Vasco De Quiroga , Gustavo A. Madero , Distrito Federal ",-99.097049,19.4949378
79,Casa en venta ,200,construidos , 3 recs. ,"2,500,000"," PONIENTE 108 00 , Defensores De La República , Gustavo A. Madero , Distrito Federal ",-99.1413689,19.4748978
80,Casa en venta ,537,construidos , 5 recs. ,"11,940,000"," MANIZALES , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1270283,19.4994383
81,Casa en venta ,205,construidos , 4 recs. ,"4,300,000"," Avenida 506 10 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.095664,19.4581179
82,Casa en venta ,250,construidos , 4 recs. ,"5,950,000"," Trujillo 641 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1347867,19.4898017
83,Casa en venta ,447,construidos , 4 recs. ,"3,000,000"," Managua 750 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1316322,19.4929873
84,Casa en venta ,310,construidos , 3 recs. ,"1,510,000"," 653 0 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.0622658,19.4549729
85,Casa en venta ,160,construidos , 3 recs. ,"8,750,000"," Avenida 531 0 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0873252,19.4635643
86,Casa en venta ,360,construidos , 4 recs. ,"3,000,000"," AVENIDA 508 20 , San Juan de Aragón I Sección , Gustavo A. Madero , Distrito Federal ",-99.0929339,19.462765
87,Casa en venta ,171,construidos , 3 recs. ,"1,850,000"," Calle 637 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0643202,19.4539424
88,Casa en venta ,718,construidos , 3 recs. ,"8,750,000"," Wilfrido Massieu 418 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.14807,19.49906
89,Casa en venta ,80,construidos , 3 recs. ,"2,750,000"," Valparaíso 153 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1200663,19.4895388
90,Casa en venta ,250,construidos , 3 recs. ,"1,250,000"," 615 117 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0671095,19.4533039
91,Casa en venta ,475,construidos , 4 recs. ,"9,000,000"," Managua , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1291495,19.4957771
92,Casa en venta ,428,construidos , 4 recs. ,"9,800,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
93,Casa en venta ,368,construidos , 5 recs. ,"10,950,000"," Caracas 84 , Torres Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1417862,19.509636
94,Casa en venta ,430,construidos , 4 recs. ,"12,000,000"," Managua, Lindavista, Gustavo A Madero 851 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1291152,19.4956008
95,Casa en venta ,165,construidos , 3 recs. ,"2,600,000"," Calle 1505 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0697366,19.4703174
96,Casa en venta ,241,construidos , 3 recs. ,"8,500,000"," Pisagua , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1278897,19.5057562
97,Casa en venta ,165,construidos , 3 recs. ,"2,600,000"," Calle 1505 45 , San Juan De Aragón 5a Secc. , Gustavo A. Madero , Distrito Federal ",-99.0703503,19.4675997
98,Casa en venta ,617,construidos ,,"7,980,000"," Fundidora de Monterrey 213 , Industrial , Gustavo A. Madero , Distrito Federal ",-99.1274457,19.4765894
99,Casa en venta ,311,construidos , 4 recs. ,"6,700,000"," LindaVista , La Escalera , Gustavo A. Madero , Distrito Federal ",-99.1354977,19.5061467
100,Casa en venta ,200,construidos , 5 recs. ,"3,495,000"," Primera Cerrada de Manati 8,1 , San Pedro Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1215018,19.5088001
101,Casa en venta ,270,construidos , 3 recs. ,"4,899,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
102,Casa en venta ,450,construidos , 3 recs. ,"15,600,000"," arequipa 884 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1217688,19.4918612
103,Casa en venta ,198,construidos , 6 recs. ,"5,270,000"," Industrial , Gustavo A. Madero , Distrito Federal ",-99.1248628,19.4736233
104,Casa en venta ,570,construidos , 4 recs. ,"4,480,000"," Arequipa 831 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1226581,19.4903572
105,Casa en venta ,440,construidos , 4 recs. ,"23,000,000"," Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1324282,19.5037694
106,Casa en venta ,146,construidos , 7 recs. ,"3,350,000"," Industria , Triunfo De La República , Gustavo A. Madero , Distrito Federal ",-99.1103998,19.4912793
107,Casa en venta ,240,construidos , 3 recs. ,"6,600,000"," managua 788 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1306867,19.4940959
108,Casa en venta ,304,construidos , 6 recs. ,"8,500,000"," Latacunga 899 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1244783,19.4948768
109,Casa en venta ,360,construidos , 4 recs. ,"3,000,000"," Avenida 508 20 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0929339,19.462765
110,Casa en venta ,594,construidos , 4 recs. ,"18,500,000"," Cali 700 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1266348,19.4874913
111,Casa en venta ,185,construidos , 4 recs. ,"2,495,000"," Brasilia 318 , San Pedro Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1199017,19.5074714
112,Casa en venta ,260,construidos , 3 recs. ,"6,430,000"," Callao , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1254258,19.4895261
113,Casa en venta ,200,construidos , 3 recs. ,"3,650,000"," Ampliación Progreso Nacional , Gustavo A. Madero , Distrito Federal ",-99.1606755,19.5202862
114,Casa en venta ,80,construidos , 3 recs. ,"13,500"," Valparaíso 153 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1200663,19.4895388
115,Casa en venta ,200,construidos , 4 recs. ,"618,978"," CALLE 623 50 , San Juan de Aragón IV Sección , Gustavo A. Madero , Distrito Federal ",-99.0652816,19.4502291
116,Casa en venta ,110,construidos , 3 recs. ,"1,400,000"," Calle 641 235 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.0650758,19.459416
117,Casa en venta ,709,construidos , 5 recs. ,"15,000,000"," Manta 714 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1349094,19.4925374
118,Casa en venta ,350,construidos , 4 recs. ,"6,400,000"," Pernambuco , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1256585,19.4913741
119,Casa en venta ,350,construidos , 5 recs. ,"2,700,000"," ZORROS 33 , Otros , Gustavo A. Madero , Distrito Federal ",-99.1079185,19.5288017
120,Casa en venta ,600,construidos , 5 recs. ,"8,300,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
121,Casa en venta ,349,construidos , 4 recs. ,"8,500,000"," Manizales , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1270283,19.4994383
122,Casa en venta ,140,construidos , 3 recs. ,"2,160,000"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
123,Casa en venta ,687,construidos , 6 recs. ,"20,000,000"," MATANZAS 760 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1308934,19.492911
124,Casa en venta ,328,construidos , 4 recs. ,"5,650,000"," Pisco , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1366524,19.4910865
125,Casa en venta ,456,construidos , 5 recs. ,"14,900,000"," Quito 1 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1301253,19.4967425
126,Casa en venta ,133,construidos , 3 recs. ,"718,330"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
127,Casa en venta ,514,construidos , 8 recs. ,"10,990,000"," Salaverry 877 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1299855,19.4976536
128,Casa en venta ,294,construidos , 5 recs. ,"4,200,000"," Debussy , Guadalupe Victoria , Gustavo A. Madero , Distrito Federal ",-99.139607,19.4702367
129,Casa en venta ,116,construidos , 5 recs. ,"2,300,000"," VOLCAN CHACAGUA 2 , Pradera II Secc. , Gustavo A. Madero , Distrito Federal ",-99.0641053,19.4728978
130,Casa en venta ,80,construidos , 2 recs. ,"2,000,000"," Avenida 593 90 , San Juan De Aragón 3a Secc. , Gustavo A. Madero , Distrito Federal ",-99.0729938,19.4529595
131,Casa en venta ,309,construidos , 4 recs. ,"1,250,000"," MANAGUA 730 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1320607,19.4925757
132,Casa en venta ,562,construidos ,,"25,000,000"," 5 de mayo villa gustavo a. madero , Villa Gustavo A. Madero , Gustavo A. Madero , Distrito Federal ",-99.1180625,19.4862493
133,Casa en venta ,220,construidos , 4 recs. ,"1,370,020"," CHICLAYO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1310756,19.4896721
134,Casa en venta ,320,construidos , 7 recs. ,"3,840,000"," CANTERA ALFONSA 507 , Arboledas De Cuautepec El Alto , Gustavo A. Madero , Distrito Federal ",-99.1329788,19.5649311
135,Casa en venta ,116,construidos , 2 recs. ,"1,800,000"," NORTE 17 5010 , Magdalena De Las Salinas , Gustavo A. Madero , Distrito Federal ",-99.1474936,19.4805772
136,Casa en venta ,295,construidos , 3 recs. ,"11,050,000"," SAN JUAN PUERTO RICO , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1271988,19.5057482
137,Casa en venta ,590,construidos , 4 recs. ,"18,500,000"," insurgentes 1990 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1179317,19.4988592
138,Casa en venta ,590,construidos , 4 recs. ,"18,500,000"," cali 00 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1274673,19.4866262
139,Casa en venta ,263,construidos , 4 recs. ,"4,950,000"," Villa Cuitlahuac 23 , Villa De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0605356,19.4677927
140,Casa en venta ,674,construidos , 4 recs. ,"13,500,000"," San Juan de Puerto Rico 1208 , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1274349,19.506025
141,Casa en venta ,300,construidos , 2 recs. ,"6,000,000"," Congreso de la Unión , Mártires De Río Blanco , Gustavo A. Madero , Distrito Federal ",-99.1133325,19.459966
142,Casa en venta ,320,construidos , 3 recs. ,"2,285,564"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
143,Casa en venta ,125,construidos , 3 recs. ,"2,600,000"," Calle 1505 50 , San Juan de Aragón VI Sección , Gustavo A. Madero , Distrito Federal ",-99.0703589,19.4677367
144,Casa en venta ,171,construidos , 3 recs. ,"1,850,000"," Calle 637 70 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.0644779,19.4547375
145,Casa en venta ,399,construidos , 10 recs. ,"7,800,000"," FRANCISCO TAMAGNO , Vallejo , Gustavo A. Madero , Distrito Federal ",-99.1332182,19.4652202
146,Casa en venta ,370,construidos , 4 recs. ,"5,400,000"," Paranagua 217 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1257137,19.5087949
147,Casa en venta ,91,construidos , 3 recs. ,"3,600,000"," Avenida Acueducto , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.122174,19.5063144
148,Casa en venta ,200,construidos , 3 recs. ,"4,000,000"," Estrella , Gustavo A. Madero , Distrito Federal ",-99.1165633,19.4740421
149,Casa en venta ,371,construidos , 3 recs. ,"4,800,364"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
150,Casa en venta ,365,construidos , 6 recs. ,"9,900,000"," Cienfuegos , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1298287,19.4927791
151,Casa en venta ,280,construidos , 3 recs. ,"9,150,000"," Wilfrido Massieu , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1365879,19.495299
152,Casa en venta ,234,construidos , 3 recs. ,"6,500,000"," MANIZALES , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.126119,19.5005442
153,Casa en venta ,1,construidos ,,"4,840,000"," Industrial , Gustavo A. Madero , Distrito Federal ",-99.1248628,19.4736233
154,Casa en venta ,310,construidos , 4 recs. ,"16,900,000"," WILFRIDO MASSIEU 347 , San Bartolo Atepehuacan , Gustavo A. Madero , Distrito Federal ",-99.1447183,19.4978168
155,Casa en venta ,370,construidos , 4 recs. ,"3,429,282"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
156,Casa en venta ,186,construidos , 4 recs. ,"9,500,000"," Torres Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1442316,19.5109537
157,Casa en venta ,200,construidos , 5 recs. ,"6,000,000"," Oriente 153 1 , Salvador Díaz Mirón , Gustavo A. Madero , Distrito Federal ",-99.1003589,19.4864765
158,Casa en venta ,382,construidos , 4 recs. ,"13,300,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
159,Casa en venta ,140,construidos , 4 recs. ,"4,450,000"," Industrial 0 , Industrial , Gustavo A. Madero , Distrito Federal ",-99.1248628,19.4736233
160,Casa en venta ,360,construidos , 5 recs. ,"7,500,000"," Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1331631,19.4908853
161,Casa en venta ,159,construidos , 3 recs. ,"4,980,000"," Manaos 0 , San Pedro Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1216215,19.5082719
162,Casa en venta ,255,construidos , 3 recs. ,"6,500,000"," Diamante , Estrella , Gustavo A. Madero , Distrito Federal ",-99.1175085,19.4756965
163,Casa en venta ,287,construidos , 5 recs. ,"7,150,000"," Av Bonao 113 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1296937,19.5010874
164,Casa en venta ,266,construidos , 3 recs. ,"7,000,000"," Arequipa 891 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1213717,19.4923104
165,Casa en venta ,382,construidos , 3 recs. ,"3,000,000"," Coquimbo 669 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1280392,19.4869719
166,Casa en venta ,208,construidos , 3 recs. ,"4,800,000"," 7 de Noviembre , Gustavo A. Madero , Distrito Federal ",-99.1214045,19.4612738
167,Casa en venta ,300,construidos , 3 recs. ,"900,000"," León Cavallo 85 , Vallejo , Gustavo A. Madero , Distrito Federal ",-99.128685,19.4683297
168,Casa en venta ,290,construidos , 4 recs. ,"718,794"," FARO DE ALEJANDRIA 38 , Siete Maravillas , Gustavo A. Madero , Distrito Federal ",-99.1450048,19.5143762
169,Casa en venta ,180,construidos , 3 recs. ,"4,000,000"," Calle 319 001 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0877921,19.4900926
