,Unnamed: 0,Status,m2,State,Rooms,Price,Adress,lon,lat
36,36,Casa en venta ,219,construidos , 3 recs. ,"874,129"," Felix Romero62 , Constitución De La República , Gustavo A. Madero , Distrito Federal ",-99.1008963,19.4831295
37,37,Casa en venta ,135,construidos , 3 recs. ,"1,621,193"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
38,38,Casa en venta ,135,construidos , 3 recs. ,"1,149,873"," Oriente 872829 , Mártires De Río Blanco , Gustavo A. Madero , Distrito Federal ",-99.1125412,19.4616775
39,39,Casa en venta ,220,construidos , 4 recs. ,"861,792"," Talara189 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.11999929999999,19.4876223
40,40,Casa en venta ,80,construidos , 2 recs. ,"932,766"," Alfonso Echanoves9 , Atzacoalco CTM , Gustavo A. Madero , Distrito Federal ",-99.1021983,19.5108215
41,41,Casa en venta ,138,construidos , 3 recs. ,"731,489"," Guayaquil39 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.13547609999999,19.4943829
42,42,Casa en venta ,300,construidos , 4 recs. ,"1,334,566"," LIMA 905 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1249622,19.49523
43,43,Casa en venta ,90,construidos , 3 recs. ,"1,230,931"," Nte 725637 , Bondojito , Gustavo A. Madero , Distrito Federal ",-99.1419179,19.5178527
44,44,Casa en venta ,90,construidos , 2 recs. ,"1,740,800"," CALLE 302 00 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.09032189999999,19.4902782
45,45,Casa en venta ,180,construidos , 3 recs. ,"1,831,466"," Calle 307924 A , Nueva Atzacoalco , Gustavo A. Madero , Distrito Federal ",-99.08613919999999,19.4991516
46,46,Casa en venta ,600,construidos , 5 recs. ,"789,245"," Caruso 2792 , Vallejo , Gustavo A. Madero , Distrito Federal ",-99.130719,19.4657951
47,47,Casa en venta ,160,construidos , 3 recs. ,"863,248"," Calle 28 A14 , San José De La Escalera , Gustavo A. Madero , Distrito Federal ",-99.1632291,19.5239938
48,48,Casa en venta ,200,construidos , 4 recs. ,"996,742"," FUNDADORA MONTERREY 00 , Industrial , Gustavo A. Madero , Distrito Federal ",-99.1288723,19.4734094
49,49,Casa en venta ,320,construidos , 4 recs. ,"974,049"," garrido278 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.1219017,19.484018
50,50,Casa en venta ,128,construidos , 3 recs. ,"654,823"," Presetas53 , Héroes De Cerro Prieto , Gustavo A. Madero , Distrito Federal ",-99.09874959999999,19.4525866
51,51,Casa en venta ,542,construidos , 4 recs. ,"1,924,000"," Arroyo de Ticoman53 , Residencial La Escalera , Gustavo A. Madero , Distrito Federal ",-99.13826019999999,19.5107091
52,52,Casa en venta ,140,construidos , 3 recs. ,"6,188,463"," Norte 86 A4730 , Nueva Tenochtitlan , Gustavo A. Madero , Distrito Federal ",-99.10253709999999,19.458507
53,53,Casa en venta ,250,construidos , 3 recs. ,"596,000"," CALLE 313 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0900856,19.4881312
54,54,Casa en venta ,150,construidos , 3 recs. ,"2,688,334"," Norte 19 A5327 , Nueva Vallejo , Gustavo A. Madero , Distrito Federal ",-99.1479993,19.4841219
55,55,Casa en venta ,145,construidos , 4 recs. ,"1,775,395"," 2 DA CERRADA697 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0543234,19.4549778
56,56,Casa en venta ,216,construidos , 6 recs. ,"2,660,000"," Calle 63131 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.09075209999999,19.4686137
57,57,Casa en venta ,200,construidos , 3 recs. ,"1,350,000"," BONAO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1298228,19.5011203
58,58,Casa en venta ,220,construidos , 4 recs. ,"2,830,000"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
59,59,Casa en venta ,110,construidos , 2 recs. ,"849,400"," Andador 68967 , C.T.M. Aragón , Gustavo A. Madero , Distrito Federal ",-99.05222090000001,19.4912946
60,60,Casa en venta ,90,construidos , 3 recs. ,"866,067"," SALAMINA 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12702829999999,19.4994383
61,61,Casa en venta ,150,construidos , 3 recs. ,"1,338,846"," Av. Fernando Amilpa105 , C.T.M. Atzacoalco , Gustavo A. Madero , Distrito Federal ",-99.09929580000001,19.5085203
62,62,Casa en venta ,240,construidos , 4 recs. ,"1,437,956"," Acueducto de guadalupe49 , Santa Isabel Tola , Gustavo A. Madero , Distrito Federal ",-99.1131703,19.4959244
63,63,Casa en venta ,360,construidos , 4 recs. ,"2,590,000"," Av. 50820 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0923614,19.4686303
64,64,Casa en venta ,250,construidos , 4 recs. ,"998,748"," AtlacomulcoMz 20 Lt 34 , San Felipe De Jesús , Gustavo A. Madero , Distrito Federal ",-99.0788113,19.4996572
65,65,Casa en venta ,130,construidos , 3 recs. ,"1,072,000"," Calle 31329 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0909786,19.487856
66,66,Casa en venta ,120,construidos , 3 recs. ,"595,000"," NORTE 3 A 0 , Defensores De La República , Gustavo A. Madero , Distrito Federal ",-99.14200869999999,19.4794298
67,67,Casa en venta ,210,construidos , 3 recs. ,"685,000"," Cairo 303 , Fernando Casas Alemán , Gustavo A. Madero , Distrito Federal ",-99.0969096,19.4520358
68,68,Casa en venta ,120,construidos , 3 recs. ,"1,453,026"," Norte 763427 , El Coyol , Gustavo A. Madero , Distrito Federal ",-99.0909786,19.487856
69,69,Casa en venta ,104,construidos , 3 recs. ,"1,630,000"," Andador 66563 , Ampliación San Juan de Aragón , Gustavo A. Madero , Distrito Federal ",-99.05222090000001,19.4912946
70,70,Casa en venta ,250,construidos , 3 recs. ,"685,000"," CAIRO 0 , Fernando Casas Alemán , Gustavo A. Madero , Distrito Federal ",-99.09694580000001,19.4525696
71,71,Casa en venta ,252,construidos , 4 recs. ,"1,058,000"," BONAO 0 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.13316309999999,19.4908853
72,72,Casa en venta ,180,construidos , 4 recs. ,"1,055,603"," VOLCAN JORULLO 0 , La Pradera , Gustavo A. Madero , Distrito Federal ",-99.0667845,19.476546
73,73,Casa en venta ,100,construidos , 2 recs. ,"1,299,897"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
74,74,Casa en venta ,85,construidos , 2 recs. ,"310,775"," Gaviotas 21 , Granjas Modernas , Gustavo A. Madero , Distrito Federal ",-99.1059233,19.4788821
75,75,Casa en venta ,220,construidos , 4 recs. ,"1,370,020"," CHICLAYO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13107559999999,19.4896721
76,76,Casa en venta ,200,construidos , 2 recs. ,"2,150,000"," AVENIDA 603 00 , San Juan de Aragón III Sección , Gustavo A. Madero , Distrito Federal ",-99.07026929999999,19.4520587
77,77,Casa en venta ,75,construidos , 3 recs. ,"554,000"," ANDADOR 689 00 , C.T.M. Aragón , Gustavo A. Madero , Distrito Federal ",-99.05476159999999,19.4533047
78,78,Casa en venta ,120,construidos , 3 recs. ,"1,750,000"," JUAN BOSCO 00 , Vasco De Quiroga , Gustavo A. Madero , Distrito Federal ",-99.097049,19.4949378
79,79,Casa en venta ,200,construidos , 3 recs. ,"2,500,000"," PONIENTE 108 00 , Defensores De La República , Gustavo A. Madero , Distrito Federal ",-99.14136889999999,19.4748978
80,80,Casa en venta ,537,construidos , 5 recs. ,"11,940,000"," MANIZALES , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12702829999999,19.4994383
81,81,Casa en venta ,205,construidos , 4 recs. ,"4,300,000"," Avenida 506 10 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.095664,19.4581179
82,82,Casa en venta ,250,construidos , 4 recs. ,"5,950,000"," Trujillo 641 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13478669999999,19.4898017
83,83,Casa en venta ,447,construidos , 4 recs. ,"3,000,000"," Managua 750 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1316322,19.4929873
84,84,Casa en venta ,310,construidos , 3 recs. ,"1,510,000"," 653 0 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.06226579999999,19.4549729
85,85,Casa en venta ,160,construidos , 3 recs. ,"8,750,000"," Avenida 531 0 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0873252,19.4635643
86,86,Casa en venta ,360,construidos , 4 recs. ,"3,000,000"," AVENIDA 508 20 , San Juan de Aragón I Sección , Gustavo A. Madero , Distrito Federal ",-99.09293389999999,19.462765
87,87,Casa en venta ,171,construidos , 3 recs. ,"1,850,000"," Calle 637 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0643202,19.4539424
88,88,Casa en venta ,718,construidos , 3 recs. ,"8,750,000"," Wilfrido Massieu 418 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.14806999999999,19.49906
89,89,Casa en venta ,80,construidos , 3 recs. ,"2,750,000"," Valparaíso 153 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.12006629999999,19.4895388
90,90,Casa en venta ,250,construidos , 3 recs. ,"1,250,000"," 615 117 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0671095,19.4533039
91,91,Casa en venta ,475,construidos , 4 recs. ,"9,000,000"," Managua , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1291495,19.4957771
92,92,Casa en venta ,428,construidos , 4 recs. ,"9,800,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
93,93,Casa en venta ,368,construidos , 5 recs. ,"10,950,000"," Caracas 84 , Torres Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1417862,19.509636
94,94,Casa en venta ,430,construidos , 4 recs. ,"12,000,000"," Managua, Lindavista, Gustavo A Madero 851 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1291152,19.4956008
95,95,Casa en venta ,165,construidos , 3 recs. ,"2,600,000"," Calle 1505 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0697366,19.4703174
96,96,Casa en venta ,241,construidos , 3 recs. ,"8,500,000"," Pisagua , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1278897,19.5057562
97,97,Casa en venta ,165,construidos , 3 recs. ,"2,600,000"," Calle 1505 45 , San Juan De Aragón 5a Secc. , Gustavo A. Madero , Distrito Federal ",-99.0703503,19.4675997
98,98,Casa en venta ,617,construidos ,,"7,980,000"," Fundidora de Monterrey 213 , Industrial , Gustavo A. Madero , Distrito Federal ",-99.1274457,19.4765894
99,99,Casa en venta ,311,construidos , 4 recs. ,"6,700,000"," LindaVista , La Escalera , Gustavo A. Madero , Distrito Federal ",-99.1354977,19.5061467
100,100,Casa en venta ,200,construidos , 5 recs. ,"3,495,000"," Primera Cerrada de Manati 8,1 , San Pedro Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.12150179999999,19.5088001
101,101,Casa en venta ,270,construidos , 3 recs. ,"4,899,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
102,102,Casa en venta ,450,construidos , 3 recs. ,"15,600,000"," arequipa 884 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1217688,19.4918612
103,103,Casa en venta ,198,construidos , 6 recs. ,"5,270,000"," Industrial , Gustavo A. Madero , Distrito Federal ",-99.1248628,19.4736233
104,104,Casa en venta ,570,construidos , 4 recs. ,"4,480,000"," Arequipa 831 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1226581,19.4903572
105,105,Casa en venta ,440,construidos , 4 recs. ,"23,000,000"," Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13242819999999,19.5037694
106,106,Casa en venta ,146,construidos , 7 recs. ,"3,350,000"," Industria , Triunfo De La República , Gustavo A. Madero , Distrito Federal ",-99.1103998,19.4912793
107,107,Casa en venta ,240,construidos , 3 recs. ,"6,600,000"," managua 788 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1306867,19.4940959
108,108,Casa en venta ,304,construidos , 6 recs. ,"8,500,000"," Latacunga 899 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12447829999999,19.4948768
109,109,Casa en venta ,360,construidos , 4 recs. ,"3,000,000"," Avenida 508 20 , San Juan De Aragón , Gustavo A. Madero , Distrito Federal ",-99.09293389999999,19.462765
110,110,Casa en venta ,594,construidos , 4 recs. ,"18,500,000"," Cali 700 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1266348,19.4874913
111,111,Casa en venta ,185,construidos , 4 recs. ,"2,495,000"," Brasilia 318 , San Pedro Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1199017,19.5074714
112,112,Casa en venta ,260,construidos , 3 recs. ,"6,430,000"," Callao , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1254258,19.4895261
113,113,Casa en venta ,200,construidos , 3 recs. ,"3,650,000"," Ampliación Progreso Nacional , Gustavo A. Madero , Distrito Federal ",-99.1606755,19.5202862
114,114,Casa en venta ,80,construidos , 3 recs. ,"13,500"," Valparaíso 153 , Tepeyac Insurgentes , Gustavo A. Madero , Distrito Federal ",-99.12006629999999,19.4895388
115,115,Casa en venta ,200,construidos , 4 recs. ,"618,978"," CALLE 623 50 , San Juan de Aragón IV Sección , Gustavo A. Madero , Distrito Federal ",-99.0652816,19.4502291
116,116,Casa en venta ,110,construidos , 3 recs. ,"1,400,000"," Calle 641 235 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.0650758,19.459416
117,117,Casa en venta ,709,construidos , 5 recs. ,"15,000,000"," Manta 714 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1349094,19.4925374
