attributes,price,status,adress,link
 160 m² construidos | 3 recs. ,"1,081,659",Casa en venta , 641228 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874418852-casa-sola-en-venta-san-juan-de-aragon-_JM#position=20&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 260 m² construidos | 4 recs. ,"1,133,200",Casa en venta , Avenida 62517 Mz 13 SpMz 17 Lt9 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874415447-casa-sola-en-venta-san-juan-de-aragon-_JM#position=21&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 170 m² construidos | 4 recs. ,"5,100,000",Casa en venta , Campestre 0 - Campestre Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874510067-venta-de-casa-en-la-campestre-aragon-_JM#position=22&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 400 m² construidos | 4 recs. ,"750,000",Casa en venta , ACERINA67 - Estrella - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874415451-casa-sola-en-venta-estrella-_JM#position=23&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 145 m² construidos | 3 recs. ,"1,499,000",Casa en venta , Calle 641 228 - San Juan de Aragón V Sección - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874197643-venta-de-casa-san-juan-de-aragon-no-creditos-am-_JM#position=24&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 133 m² construidos | 3 recs. ,"3,400,000",Casa en venta , Defensores De La República - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874853729-casa-en-venta-en-colonia-defensores-de-la-republica-alcaldia-gustavo-a-madero-133m2-_JM#position=25&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 170 m² construidos | 3 recs. ,"684,579",Casa en venta , 63769 - San Juan de Aragón IV Sección - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121651-casa-sola-en-venta-san-juan-de-aragon-iv-seccion-_JM#position=26&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 160 m² construidos | 3 recs. ,"2,277,223",Casa en venta , Santiago8 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125876-casa-sola-en-venta-tepeyac-insurgentes-_JM#position=27&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 85 m² construidos | 2 recs. ,"1,413,100",Casa en venta , Retorno Heleodoro Guadarrama8 - Atzacoalco CTM - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122300-casa-sola-en-venta-atzacoalco-ctm-_JM#position=28&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 150 m² construidos | 3 recs. ,"596,000",Casa en venta , CALLE 313 NO. 29 29 - Guadalupe Ticoman - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873480741-eo-casa-en-venta-en-calle-313-el-coyol-gam-_JM#position=29&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 612 m² construidos | 6 recs. ,"1,476,220",Casa en venta , Matanzas872 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125861-casa-sola-en-venta-lindavista-sur-_JM#position=30&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 175 m² construidos | 3 recs. ,"1,436,742",Casa en venta , Norte 906553 - San Pedro El Chico - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122308-casa-sola-en-venta-san-pedro-el-chico-_JM#position=31&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 285 m² construidos | 4 recs. ,"864,580",Casa en venta , Av. Republica Mexicana3650 - San Felipe De Jesús - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125831-casa-sola-en-venta-san-felipe-de-jesus-_JM#position=32&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 288 m² construidos | 4 recs. ,"2,420,000",Casa en venta , NORTE 70-A3631 - Cuchilla La Joya - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873801957-casa-uso-de-suelo-en-venta-cuchilla-la-joya-_JM#position=33&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 343 m² construidos | 11 recs. ,"5,750,000",Casa en venta , Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873602302-venta-casa-tepeyac-insurgentes-en-carolina-188-_JM#position=34&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 120 m² construidos | 3 recs. ,"559,000",Casa en venta , ANDADOR 689 - C.T.M. Aragón - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873444893--super-precio-gran-oportunidad-de-comprar-tu-casa--_JM#position=35&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 240 m² construidos | 4 recs. ,"2,610,000",Casa en venta , Solola 566 - Valle Del Tepeyac - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874197538-casa-en-venta-valle-del-tepeyac-no-creditos-am-_JM#position=36&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 219 m² construidos | 3 recs. ,"874,129",Casa en venta , Felix Romero62 - Constitución De La República - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121708-casa-sola-en-venta-constitucion-de-la-republica-_JM#position=37&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 135 m² construidos | 3 recs. ,"1,621,193",Casa en venta , Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874134933-oportunidad-casa-en-remate-bancario-col-industrial-gam-_JM#position=38&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
