attributes,price,status,adress
 926 m² construidos | 6 recs. ,"26,000,000",Casa en venta , Coruña - Alamos - Benito Juárez - Distrito Federal 
 381 m² construidos | 3 recs. ,"10,400,000",Casa en venta , Ixcateopan - Vértiz Narvarte - Benito Juárez - Distrito Federal 
 424 m² construidos | 5 recs. ,"10,000,000",Casa en venta , uxmal 225 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 310 m² construidos | 3 recs. ,"15,774,000",Casa en venta , TH-A Dallas - Nápoles - Benito Juárez - Distrito Federal 
 165 m² construidos | 3 recs. ,"6,400,000",Casa en venta , Alabama 153 - Nápoles - Benito Juárez - Distrito Federal 
 750 m² construidos | 3 recs. ,"30,500,000",Casa en venta , Santa Catalina - Del Valle Centro - Benito Juárez - Distrito Federal 
 61 m² construidos | 3 recs. ,"6,500,000",Casa en venta , Jaca - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 253 m² construidos | 3 recs. ,"12,600,000",Casa en venta , Miguel Laurent - Del Valle Sur - Benito Juárez - Distrito Federal 
 596 m² construidos ,"32,500,000",Casa en venta , Yosemitte - Nápoles - Benito Juárez - Distrito Federal 
 112 m² construidos | 3 recs. ,"12,500,000",Casa en venta , Fresas - Del Valle Centro - Benito Juárez - Distrito Federal 
 243 m² construidos | 3 recs. ,"9,800,000",Casa en venta , Pestalozzi 1250 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 253 m² construidos | 3 recs. ,"13,636,800",Casa en venta , TH-C Dallas - Nápoles - Benito Juárez - Distrito Federal 
 264 m² construidos | 3 recs. ,"13,982,500",Casa en venta , TH-B Dallas - Nápoles - Benito Juárez - Distrito Federal 
 175 m² construidos | 4 recs. ,"13,000,000",Casa en venta , Julio Ruelas 51 - San José Insurgentes - Benito Juárez - Distrito Federal 
 310 m² construidos | 4 recs. ,"14,268,042",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 246 m² construidos | 5 recs. ,"8,300,000",Casa en venta , Merced Gómez - Merced Gómez - Benito Juárez - Distrito Federal 
 320 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Adolfo Prieto 110 - Del Valle Norte - Benito Juárez - Distrito Federal 
 167 m² construidos | 3 recs. ,"5,900,000",Casa en venta , LA CORUÑA - Alamos - Benito Juárez - Distrito Federal 
 489 m² construidos | 3 recs. ,"9,500,000",Casa en venta , Parque Mariscal Sucre - Del Valle Centro - Benito Juárez - Distrito Federal 
 309 m² construidos | 4 recs. ,"14,270,000",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 342 m² construidos | 3 recs. ,"12,880,000",Casa en venta , Acacias - Benito Juárez - Distrito Federal 
 700 m² construidos | 3 recs. ,"11,100,000",Casa en venta , Alamos - Benito Juárez - Distrito Federal 
 1200 m² construidos | 4 recs. ,"50,000,000",Casa en venta , Nevado - Portales Sur - Benito Juárez - Distrito Federal 
 430 m² construidos | 3 recs. ,"15,300,000",Casa en venta , Nicolás San Juan - Del Valle Centro - Benito Juárez - Distrito Federal 
 500 m² construidos | 3 recs. ,"15,220,000",Casa en venta , Amores - Del Valle Centro - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"7,402,544",Casa en venta , IXCATEOPAN 201 - Vértiz Narvarte - Benito Juárez - Distrito Federal 
 180 m² construidos | 3 recs. ,"1,155,966",Casa en venta , CASTILLA 142 - Alamos - Benito Juárez - Distrito Federal 
 369 m² construidos | 4 recs. ,"15,219,000",Casa en venta , Amores - Del Valle Sur - Benito Juárez - Distrito Federal 
 180 m² construidos | 4 recs. ,"1,352,036",Casa en venta , GABRIEL MANCERA 46 - Del Valle Centro - Benito Juárez - Distrito Federal 
 105 m² construidos | 3 recs. ,"5,400,000",Casa en venta , Gabriel Mancera 322 - Del Valle Centro - Benito Juárez - Distrito Federal 
 360 m² construidos | 4 recs. ,"1,550,369",Casa en venta , ENRIQUE PESTALOZZI 622 - Narvarte - Benito Juárez - Distrito Federal 
 280 m² construidos | 4 recs. ,"7,700,000",Casa en venta , Peten 1 - Narvarte - Benito Juárez - Distrito Federal 
 371 m² construidos | 3 recs. ,"19,999,898",Casa en venta , Donatelo 02 - Insurgentes Mixcoac - Benito Juárez - Distrito Federal 
 555 m² construidos | 4 recs. ,"14,500,000",Casa en venta , anexagoras 930 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 331 m² construidos | 3 recs. ,"12,850,000",Casa en venta , PROVIDENCIA 983 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 500 m² construidos | 4 recs. ,"8,449,368",Casa en venta , Ixcateopan 00 - Vértiz Narvarte - Benito Juárez - Distrito Federal 
 270 m² construidos | 4 recs. ,"1,320,000",Casa en venta , Ohio 00 - Nápoles - Benito Juárez - Distrito Federal 
 152 m² construidos | 3 recs. ,"6,900,000",Casa en venta , Carmen 110 - Nativitas - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"2,111,500",Casa en venta , Benito Juárez - Distrito Federal 
 140 m² construidos | 1 rec. ,"13,000,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 220 m² construidos | 4 recs. ,"1,100,000",Casa en venta , Xocotitla 17 - Xoco - Benito Juárez - Distrito Federal 
 790 m² construidos | 4 recs. ,"883,000",Casa en venta , Nanche8 - Del Valle Sur - Benito Juárez - Distrito Federal 
 450 m² construidos | 3 recs. ,"983,657",Casa en venta , Ohio13 - Nápoles - Benito Juárez - Distrito Federal 
 224 m² construidos | 4 recs. ,"1,180,000",Casa en venta , JUAREZ 141 SANTA CRUZ ATOYAC 0 - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 240 m² construidos | 6 recs. ,"6,000,000",Casa en venta , Sucre - Moderna - Benito Juárez - Distrito Federal 
 400 m² construidos | 4 recs. ,"1,407,670",Casa en venta , Alhambra1115 - Portales Sur - Benito Juárez - Distrito Federal 
 330 m² construidos | 3 recs. ,"900,000",Casa en venta , HERIBERTO FRIAS530 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 190 m² construidos | 3 recs. ,"3,410,000",Casa en venta , VICTOR HUGO 119 - Portales - Benito Juárez - Distrito Federal 
 675 m² construidos | 4 recs. ,"7,600,000",Casa en venta , Portales Norte - Benito Juárez - Distrito Federal 
 380 m² construidos | 4 recs. ,"1,101,618",Casa en venta , Tajin599 - Vértiz Narvarte - Benito Juárez - Distrito Federal 
 371 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Anaxágoras - Narvarte Poniente - Benito Juárez - Distrito Federal 
 265 m² construidos | 4 recs. ,"8,000,000",Casa en venta , Cuicuilco 24 - Letran Valle - Benito Juárez - Distrito Federal 
 224 m² construidos | 4 recs. ,"1,180,000",Casa en venta , JUAREZ 141 - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 417 m² construidos | 4 recs. ,"2,570,000",Casa en venta , Heriberto Frías 1235 - Del Valle Centro - Benito Juárez - Distrito Federal 
 320 m² construidos | 3 recs. ,"1,157,356",Casa en venta , Serafin Olarte128 - Independencia - Benito Juárez - Distrito Federal 
 230 m² construidos | 3 recs. ,"6,250,000",Casa en venta , Enrique Pestalozzi 537 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 107 m² construidos | 3 recs. ,"2,200,000",Casa en venta , Dr. Barragán 763 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 116 m² construidos | 3 recs. ,"2,170,000",Casa en venta , Indianápolis 81 - Nápoles - Benito Juárez - Distrito Federal 
 185 m² construidos | 3 recs. ,"1,670,000",Casa en venta , Dr. José María Vertíz 736 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 73 m² construidos | 2 recs. ,"1,709,662",Casa en venta , GABRIEL MANCERA 1439 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 73 m² construidos | 2 recs. ,"1,676,763",Casa en venta , PALERMO 18 - Américas Unidas - Benito Juárez - Distrito Federal 
 235 m² construidos | 3 recs. ,"1,568,514",Casa en venta , Benito Juárez - Distrito Federal 
 280 m² construidos | 3 recs. ,"3,515,460",Casa en venta , Avenida Coyoacan1834 - Del Valle Centro - Benito Juárez - Distrito Federal 
 207 m² construidos | 3 recs. ,"5,230,160",Casa en venta , Moras758 - Del Valle Sur - Benito Juárez - Distrito Federal 
 90 m² construidos | 2 recs. ,"2,940,000",Casa en venta , La morena 317 - Del Valle Norte - Benito Juárez - Distrito Federal 
