,m2,State,Rooms,Price,Status,Adress
19,124,construidos , 3 recs. ,"3,700,000",Casa en venta ," Rafael Solana Verduguillo , Independencia , Benito Juárez , Distrito Federal "
20,333,construidos , 5 recs. ,"16,000,000",Casa en venta ," Nicolas San Juan 444 , Narvarte Poniente , Benito Juárez , Distrito Federal "
21,191,construidos , 4 recs. ,"5,550,000",Casa en venta ," hilario Perez de Leon , Narvarte , Benito Juárez , Distrito Federal "
22,293,construidos , 4 recs. ,"9,900,000",Casa en venta ," Uxmal 364 , Narvarte Poniente , Benito Juárez , Distrito Federal "
23,247,construidos , 4 recs. ,"8,300,000",Casa en venta ," Indiana 78 , Nápoles , Benito Juárez , Distrito Federal "
24,171,construidos , 3 recs. ,"8,863,068",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal "
25,186,construidos , 3 recs. ,"9,346,486",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal "
26,191,construidos , 4 recs. ,"5,550,000",Casa en venta ," Hilario Perez de Leon 67 , Américas Unidas , Benito Juárez , Distrito Federal "
27,253,construidos , 4 recs. ,"13,000,000",Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal "
28,130,construidos , 3 recs. ,"6,000,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal "
29,124,construidos , 3 recs. ,"5,900,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal "
30,124,construidos , 3 recs. ,"5,899,999",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal "
31,124,construidos , 3 recs. ,"5,899,900",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal "
32,124,construidos , 3 recs. ,"5,899,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal "
33,310,construidos , 3 recs. ,"22,500,000",Casa en venta ," San Lorenzo , Del Valle Centro , Benito Juárez , Distrito Federal "
34,300,construidos , 4 recs. ,"8,500,000",Casa en venta ," Venta Casa , Del Valle Centro , Benito Juárez , Distrito Federal "
35,353,construidos , 5 recs. ,"15,000,000",Casa en venta ," Moras , Del Valle Sur , Benito Juárez , Distrito Federal "
36,485,construidos , 4 recs. ,"12,999,987",Casa en venta ," Edzna 164 , Letran Valle , Benito Juárez , Distrito Federal "
37,165,construidos , 3 recs. ,"6,070,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
38,155,construidos , 3 recs. ,"6,740,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
39,150,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
40,155,construidos , 3 recs. ,"6,550,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
41,148,construidos , 3 recs. ,"6,070,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
42,150,construidos , 3 recs. ,"6,150,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
43,111,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
44,155,construidos , 3 recs. ,"6,500,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
45,155,construidos , 3 recs. ,"6,700,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
46,148,construidos , 3 recs. ,"6,050,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
47,550,construidos , 4 recs. ,"17,000,000",Casa en venta ," Dr. Barragán , Narvarte Oriente , Benito Juárez , Distrito Federal "
48,354,construidos , 3 recs. ,"16,900,000",Casa en venta ," Xoco , Benito Juárez , Distrito Federal "
49,226,construidos , 3 recs. ,"8,000,000",Casa en venta ," Manuel Lopez Cotilla , Del Valle Centro , Benito Juárez , Distrito Federal "
50,926,construidos , 6 recs. ,"26,000,000",Casa en venta ," Coruña , Alamos , Benito Juárez , Distrito Federal "
51,381,construidos , 3 recs. ,"10,400,000",Casa en venta ," Ixcateopan , Vértiz Narvarte , Benito Juárez , Distrito Federal "
52,424,construidos , 5 recs. ,"10,000,000",Casa en venta ," uxmal 225 , Narvarte Poniente , Benito Juárez , Distrito Federal "
53,310,construidos , 3 recs. ,"15,774,000",Casa en venta ," TH,A Dallas , Nápoles , Benito Juárez , Distrito Federal "
54,165,construidos , 3 recs. ,"6,400,000",Casa en venta ," Alabama 153 , Nápoles , Benito Juárez , Distrito Federal "
55,750,construidos , 3 recs. ,"30,500,000",Casa en venta ," Santa Catalina , Del Valle Centro , Benito Juárez , Distrito Federal "
56,61,construidos , 3 recs. ,"6,500,000",Casa en venta ," Jaca , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
57,253,construidos , 3 recs. ,"12,600,000",Casa en venta ," Miguel Laurent , Del Valle Sur , Benito Juárez , Distrito Federal "
58,596,construidos ,,"32,500,000",Casa en venta ," Yosemitte , Nápoles , Benito Juárez , Distrito Federal "
59,112,construidos , 3 recs. ,"12,500,000",Casa en venta ," Fresas , Del Valle Centro , Benito Juárez , Distrito Federal "
60,243,construidos , 3 recs. ,"9,800,000",Casa en venta ," Pestalozzi 1250 , Narvarte Poniente , Benito Juárez , Distrito Federal "
61,253,construidos , 3 recs. ,"13,636,800",Casa en venta ," TH,C Dallas , Nápoles , Benito Juárez , Distrito Federal "
62,264,construidos , 3 recs. ,"13,982,500",Casa en venta ," TH,B Dallas , Nápoles , Benito Juárez , Distrito Federal "
63,175,construidos , 4 recs. ,"13,000,000",Casa en venta ," Julio Ruelas 51 , San José Insurgentes , Benito Juárez , Distrito Federal "
64,310,construidos , 4 recs. ,"14,268,042",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
